STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570441,28000082,28,6.5,8.25,6.75,,,,,,6.25,,19.5,,,21.0
570442,28000083,28,6.75,8.5,8.0,5.25,,,,,,20.0,,,,
570443,28000084,28,3.35,7.25,,,,5.25,5.75,,,,,,18.25,
570444,28000085,28,6.5,7.5,,7.0,6.75,,,,,,,20.25,,
570445,28000086,28,2.75,8.25,,,,9.25,9.0,,,,,,26.5,
570446,28000087,28,7.75,8.25,,,,8.5,,,5.75,,,,,21.75
570447,28000088,28,6.75,8.25,6.1,,,,,,6.25,,19.1,,,21.25
570448,28000089,28,6.5,8.75,,,,8.6,,,6.25,,,,,21.5
570449,28000090,28,5.6,7.5,7.25,,,,,,5.0,,17.85,,,18.1
570450,28000091,28,8.5,8.25,7.25,7.75,,,,,,23.5,,,,
570451,28000092,28,7.25,7.5,8.5,4.0,,,,,,19.75,,,,
570452,28000093,28,7.0,9.0,,,,10.0,,,6.25,,,,,22.25
570453,28000094,28,7.0,7.5,8.0,,,,,,6.25,,21.25,,,20.75
570454,28000095,28,6.25,8.75,,,,8.5,,,6.0,,,,,21.0
570455,28000096,28,4.75,6.75,7.5,,,,,,5.5,,17.75,,,17.0
570456,28000097,28,7.0,7.5,7.0,,,,,,5.0,,19.0,,,19.5
570457,28000098,28,2.75,4.5,,,3.85,4.75,,,,,,,,
570458,28000099,28,6.1,8.25,,,,6.75,,,3.0,,,,,17.35
570459,28000100,28,7.25,8.5,6.25,4.75,,,,,,18.25,,,,
570460,28000101,28,4.0,8.25,,,,,6.0,,6.0,,,,,18.25
570461,28000102,28,5.85,8.0,,,,8.0,,,6.5,,,,,20.35
570462,28000103,28,8.0,8.25,,5.95,,,,,6.5,,,,,22.75
570463,28000104,28,3.5,7.25,6.0,,,5.0,,,,,,,,
570464,28000105,28,6.25,5.75,8.0,8.25,,,,,,22.5,,,,
570465,28000106,28,6.6,8.75,,,,,,7.75,,,,,,
570466,28000107,28,5.25,9.0,,,,,6.25,,4.0,,,,,18.25
570467,28000108,28,2.1,7.75,,,,8.0,,,5.25,,,,,15.1
570468,28000110,28,3.75,8.0,,,,7.0,7.0,,,,,,22.0,
570469,28000111,28,5.5,8.0,,4.6,7.5,,,,,,,17.6,,
