STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
573479,28003159,28,6.0,8.25,5.7,,,,,,5.25,,16.95,,,19.5
573480,28003160,28,9.0,9.0,7.0,,,,,,5.25,,21.25,,,23.25
573481,28003161,28,4.75,8.25,,,,4.5,7.0,,,,,,19.75,
573482,28003162,28,2.35,7.75,,,,5.1,,7.25,,,,,,
573483,28003163,28,2.25,5.0,,,,4.1,4.1,,,,,,13.2,
573484,28003164,28,3.85,7.5,,,,6.5,6.5,,,,,,20.5,
573485,28003165,28,5.75,7.5,,,,7.5,,,5.75,,,,,19.0
573486,28003166,28,5.5,8.25,,,,,,8.5,3.5,,,,,17.25
573487,28003167,28,5.75,6.5,6.25,4.75,,,,,,16.75,,,,
573488,28003168,28,5.75,8.0,,,,9.5,,,7.0,,,,,20.75
573489,28003169,28,6.75,7.75,,,,,9.5,,5.25,,,,,19.75
573490,28003170,28,0.95,5.75,,,,3.75,4.0,,,,,,13.5,
573491,28003171,28,5.1,8.75,,,,7.75,,,5.25,,,,,19.1
573492,28003172,28,3.25,7.75,,,,7.5,6.85,,,,,,22.1,
573493,28003173,28,5.1,8.75,7.5,,,,,,6.0,,18.6,,,19.85
573494,28003174,28,6.25,7.5,7.0,6.75,,,,,,20.0,,,,
573495,28003175,28,4.25,7.75,,,,5.75,6.25,,,,,,19.75,
573496,28003176,28,7.0,8.0,,,,,7.25,,6.5,,,,,21.5
573497,28003177,28,2.85,8.75,,,,9.5,8.0,,,,,,26.25,
573498,28003178,28,3.7,8.75,,,,8.0,,,,,,,,
573499,28003179,28,4.35,8.0,,,,,,9.0,4.25,,,,,16.6
573500,28003180,28,3.25,7.5,5.25,,,,,,5.0,,13.5,,,15.75
573501,28003181,28,7.0,9.0,5.6,,,,,,5.25,,17.85,,,21.25
573502,28003182,28,3.5,8.25,4.5,,,,,7.0,,,,,,
573503,28003183,28,5.25,8.0,7.5,,,,,,4.75,,17.5,,,18.0
573504,28003184,28,1.85,3.0,,,,4.25,2.7,,,,,,9.95,
573505,28003185,28,1.4,8.0,,,,7.5,,8.0,,,,,,
573506,28003186,28,6.25,7.75,,,,,,7.75,6.25,,,,,20.25
573507,28003187,28,4.25,7.5,,,,,,8.25,4.75,,,,,16.5
573508,28003188,28,7.0,8.25,,,,,,8.5,5.25,,,,,20.5
573509,28003190,28,6.25,8.25,6.35,6.85,,,,,,19.45,,,,
573510,28003191,28,3.0,5.75,,,,6.25,,7.0,,,,,,
573511,28003192,28,3.5,7.5,2.95,,,6.0,,,,,,,,
573512,28003194,28,1.85,6.0,,,,3.45,,5.0,,,,,,
573513,28003195,28,3.0,7.0,,,,6.25,,6.85,,,,,,
573514,28003196,28,2.1,5.5,,,,2.85,2.6,,,,,,10.95,
573515,28003197,28,4.25,5.25,,,,5.35,3.35,,,,,,13.95,
573516,28003198,28,2.0,4.5,,,,3.25,,4.6,,,,,,
573517,28003199,28,3.25,6.75,,,,,4.0,5.1,,,,,,
573518,28003200,28,4.6,8.5,7.25,,4.5,,,,,,,,,
573519,28003201,28,3.85,6.5,,,,4.35,,6.0,,,,,,
573520,28003202,28,1.6,7.0,,,,4.85,,7.0,,,,,,
573521,28003203,28,5.5,8.5,,,,7.35,7.5,,,,,,23.35,
573522,28003204,28,3.5,7.75,,,,5.1,,8.0,,,,,,
573523,28003205,28,2.6,6.5,,,,6.1,,7.75,,,,,,
573524,28003206,28,3.6,8.5,,,,7.75,,,4.75,,,,,16.85
573525,28003207,28,1.7,6.0,,,,5.1,,6.0,,,,,,
573526,28003208,28,6.35,7.0,,,,,4.6,,4.75,,,,,18.1
573527,28003209,28,6.5,8.25,6.0,,,6.25,,,,,,,,
573528,28003210,28,2.6,7.0,,,,3.5,,7.0,,,,,,
573529,28003211,28,3.75,6.5,6.85,,,,,,4.75,,15.35,,,15.0
573530,28003212,28,1.35,4.5,,,,4.45,,2.7,,,,,,
573531,28003213,28,1.7,7.5,,,,5.25,,8.0,,,,,,
573532,28003214,28,4.0,7.25,5.35,,,,,,4.0,,13.35,,,15.25
573533,28003215,28,6.35,6.75,,8.5,,,,,7.25,,,,,20.35
573534,28003216,28,4.5,8.75,,,,,9.75,,5.0,,,,,18.25
573535,28003217,28,3.85,8.25,,,,4.75,,8.0,,,,,,
573536,28003218,28,2.5,7.5,,,,5.5,,6.0,,,,,,
573537,28003219,28,4.75,8.0,,,,6.25,,,6.5,,,,,19.25
573538,28003220,28,4.5,9.0,5.75,,,,,,5.75,,16.0,,,19.25
573539,28003221,28,3.75,8.0,,,,6.5,6.5,,,,,,21.0,
573540,28003222,28,4.75,6.92,,,,,,8.5,5.5,,,,,17.17
573541,28003223,28,6.5,8.5,,,,,,9.25,5.25,,,,,20.25
573542,28003224,28,8.1,7.5,,,,8.35,9.75,,,,,,25.6,
573543,28003225,28,6.85,8.75,,,,6.5,,,8.5,,,,,24.1
573544,28003226,28,3.75,8.5,,,,5.85,4.5,,,,,,18.85,
573545,28003227,28,3.35,7.0,,,,5.5,,5.25,,,,,,
573546,28003228,28,5.1,9.0,,,,6.5,,,6.5,,,,,20.6
573547,28003229,28,3.25,8.75,,,,6.1,,8.75,,,,,,
573548,28003230,28,3.85,8.75,,,,,5.5,7.25,,,,,,
573549,28003231,28,3.0,8.0,,,,,5.0,8.25,,,,,,
573550,28003232,28,6.25,8.0,,,,,8.6,7.5,,,,,,
573551,28003233,28,3.1,7.0,6.25,,,5.5,,,,,,,,
573552,28003234,28,3.25,5.75,,,2.7,3.6,,,,,,,,
573553,28003235,28,4.75,8.25,,,,4.45,5.35,,,,,,18.049999999999997,
573554,28003236,28,4.75,8.5,,,,,7.0,,5.25,,,,,18.5
573555,28003237,28,2.85,7.0,3.35,,,6.0,,,,,,,,
573556,28003238,28,2.95,7.0,4.85,,,6.0,,,,,,,,
573557,28003239,28,3.75,7.5,,,,3.2,4.1,,,,,,14.799999999999999,
573558,28003240,28,3.25,6.25,4.5,,,6.85,,,,,,,,
573559,28003241,28,3.25,8.25,,,,,,7.25,5.25,,,,,16.75
573560,28003242,28,4.5,9.0,,,,,7.1,8.0,,,,,,
573561,28003243,28,5.5,9.0,,,,9.75,9.75,,,,,,28.5,
573562,28003244,28,2.75,8.25,,,,6.0,,9.0,,,,,,
573563,28003245,28,4.25,8.0,,,,,,6.6,3.25,,,,,15.5
573564,28003246,28,2.25,6.75,,,,,4.75,7.25,,,,,,
573565,28003247,28,2.6,6.92,,,,,4.1,7.0,,,,,,
573566,28003248,28,5.0,8.5,,,,,,7.25,4.0,,,,,17.5
573567,28003249,28,2.25,7.0,,,,4.75,5.1,,,,,,16.85,
573568,28003250,28,5.0,8.0,,,,8.0,9.0,,,,,,25.0,
573569,28003251,28,4.75,8.0,,,,6.0,6.85,,,,,,20.85,
573570,28003252,28,5.0,8.5,5.85,,,,,,5.5,,16.35,,,19.0
573571,28003253,28,3.6,8.25,,,,7.25,8.0,,,,,,23.5,
573572,28003254,28,3.0,5.75,4.1,,,5.35,,,,,,,,
573573,28003255,28,4.6,6.25,,,3.95,8.5,,,,,,,,
573574,28003256,28,2.6,7.25,,,,,3.7,6.75,,,,,,
573575,28003257,28,4.5,8.5,,,,,5.25,8.75,,,,,,
573576,28003258,28,5.0,8.25,,,,,,7.5,5.0,,,,,18.25
573577,28003259,28,7.5,6.75,7.5,,,,,,6.5,,21.5,,,20.75
573578,28003260,28,3.35,5.25,4.5,,,4.95,,,,,,,,
573579,28003261,28,4.0,8.5,,,,6.5,,9.0,,,,,,
573580,28003262,28,1.6,8.0,,,3.2,6.75,,,,,,,,
573581,28003263,28,2.6,5.0,2.5,,,6.0,,,,,,,,
573582,28003264,28,4.75,8.0,,,5.25,5.7,,,,,,,,
573583,28003265,28,3.5,6.25,,,,7.75,,8.25,,,,,,
573584,28003266,28,4.0,8.0,,,,,7.85,8.5,,,,,,
573585,28003267,28,3.6,6.0,,,,,,9.0,8.75,,,,,18.35
573586,28003268,28,4.75,8.0,,,6.25,,,,3.75,,,,,16.5
573587,28003269,28,2.1,8.25,,,3.1,4.85,,,,,,,,
573588,28003270,28,3.25,9.0,,,,6.35,,,5.0,,,,,17.25
573589,28003271,28,3.1,8.0,,,,7.5,8.0,,,,,,23.5,
573590,28003272,28,3.6,7.0,,,,,,7.5,4.75,,,,,15.35
573591,28003273,28,2.6,8.75,,,,8.0,8.5,,,,,,25.25,
573592,28003274,28,4.1,9.0,,,,8.5,,,4.5,,,,,17.6
573593,28003275,28,4.0,7.25,5.0,,,5.35,,,,,,,,
573594,28003276,28,4.75,8.0,,,,7.75,6.35,,,,,,22.1,
573595,28003277,28,5.0,8.25,4.85,,,,,,4.5,,14.35,,,17.75
573596,28003278,28,3.6,7.75,,,,,,8.5,4.75,,,,,16.1
573597,28003279,28,4.35,7.25,,,,3.6,,6.75,,,,,,
573598,28003280,28,5.0,8.25,,,,,7.1,9.0,,,,,,
573599,28003281,28,3.05,7.0,4.5,,,5.35,,,,,,,,
573600,28003282,28,1.95,6.5,,,4.75,5.0,,,,,,,,
573601,28003283,28,6.25,9.0,,,,8.5,7.5,,,,,,25.0,
573602,28003284,28,3.25,6.0,,,,5.75,,,3.0,,,,,12.25
573603,28003285,28,2.25,7.75,3.85,,,5.5,,,,,,,,
573604,28003286,28,4.0,8.75,,,,,6.6,8.25,,,,,,
573605,28003287,28,3.75,8.5,,,,8.0,7.5,,,,,,24.0,
573606,28003288,28,6.0,9.0,,,,5.75,6.5,,,,,,21.25,
573607,28003289,28,3.6,8.25,,,,,6.75,7.75,,,,,,
573608,28003290,28,4.75,8.75,,,,,,6.0,3.0,,,,,16.5
573609,28003291,28,2.1,7.25,,,,4.25,3.5,,,,,,15.0,
573610,28003292,28,2.95,7.5,3.25,,,6.75,,,,,,,,
573611,28003293,28,2.85,7.0,2.85,,,4.75,,,,,,,,
573612,28003294,28,6.5,7.0,5.5,,,6.1,,,,,,,,
573613,28003295,28,2.35,5.75,5.25,,,4.0,,,,,,,,
573614,28003296,28,2.7,7.0,,,,,5.75,7.75,,,,,,
573615,28003297,28,3.1,7.75,,,,4.5,,6.5,,,,,,
573616,28003298,28,7.5,7.5,8.0,,,,,,5.25,,20.75,,,20.25
573617,28003299,28,3.85,8.0,,,,,6.5,7.25,,,,,,
573618,28003300,28,3.1,6.75,,,,,4.85,8.25,,,,,,
573619,28003301,28,3.25,8.5,,,,,,7.25,3.5,,,,,15.25
573620,28003302,28,3.85,8.0,,,,7.0,,,4.5,,,,,16.35
573621,28003303,28,4.75,8.0,,,,,6.5,8.5,,,,,,
573622,28003304,28,4.6,7.75,,,,,6.85,9.0,,,,,,
573623,28003305,28,2.0,4.5,,,2.45,5.1,,,,,,,,
573624,28003306,28,6.25,8.75,,,,7.5,,,6.5,,,,,21.5
573625,28003307,28,4.0,6.25,,,4.45,5.25,,,,,,,,
573626,28003308,28,2.6,6.0,,,4.6,4.6,,,,,,,,
573627,28003309,28,3.75,6.5,2.3,,,4.5,,,,,,,,
573628,28003310,28,4.1,8.5,,,,,,9.0,4.25,,,,,16.85
573629,28003311,28,2.75,8.25,,,,5.75,5.6,,,,,,19.6,
573630,28003312,28,5.5,8.5,,,,7.5,,8.0,,,,,,
573631,28003313,28,5.5,6.0,,5.1,5.6,,,,,,,16.2,,
573632,28003314,28,2.25,6.0,,,4.85,3.1,,,,,,,,
573633,28003315,28,3.75,7.0,4.75,,,,,,4.0,,12.5,,,14.75
573634,28003316,28,3.5,6.5,,,5.0,3.85,,,,,,,,
573635,28003317,28,3.35,6.5,,,,,,7.25,4.75,,,,,14.6
573636,28003318,28,3.1,7.25,3.85,,,4.6,,,,,,,,
573637,28003319,28,3.5,7.25,,,3.6,4.7,,,,,,,,
573638,28003320,28,5.0,6.5,4.5,,,4.85,,,,,,,,
573639,28003321,28,1.7,6.5,2.45,,,4.85,,,,,,,,
573640,28003322,28,1.75,7.0,,,,6.5,,,5.25,,,,,14.0
573641,28003323,28,1.3,5.0,,,3.2,3.75,,,,,,,,
573642,28003324,28,3.85,8.5,,,,6.75,7.5,,,,,,22.75,
573643,28003325,28,4.25,8.5,,,,5.5,4.1,,,,,,18.1,
573644,28003326,28,3.5,9.0,,,5.75,6.25,,,,,,,,
573645,28003327,28,4.5,8.5,,,,7.25,7.1,,,,,,22.85,
573646,28003328,28,5.75,9.0,,,,8.5,8.0,,,,,,25.5,
573647,28003329,28,2.7,7.75,,,,7.5,8.75,,,,,,24.0,
573648,28003330,28,5.75,8.5,,,,,7.85,,4.0,,,,,18.25
573649,28003331,28,2.05,8.0,,,,,4.35,9.25,,,,,,
573650,28003332,28,3.5,6.75,,,,5.35,7.0,,,,,,19.1,
573651,28003333,28,4.25,8.75,,,,,8.0,9.25,,,,,,
573652,28003334,28,4.35,9.0,,,,9.5,9.0,,,,,,27.5,
573653,28003335,28,2.85,8.0,,,,,3.75,8.0,,,,,,
573654,28003336,28,4.5,8.5,,,,,6.5,8.0,,,,,,
573655,28003337,28,4.75,7.5,,,,9.5,9.75,,,,,,26.75,
573656,28003338,28,3.95,7.75,3.85,,,4.25,,,,,,,,
573657,28003339,28,4.25,8.75,,,,5.85,7.75,,,,,,22.35,
573658,28003340,28,2.35,6.75,5.25,,,5.5,,,,,,,,
573659,28003341,28,4.0,7.5,,,,,4.25,7.1,,,,,,
573660,28003342,28,8.5,7.0,8.75,6.0,,,,,,23.25,,,,
573661,28003343,28,1.3,6.75,,,3.6,7.75,,,,,,,,
573662,28003344,28,2.85,6.0,3.85,,,5.5,,,,,,,,
573663,28003345,28,2.75,6.25,,,4.75,3.7,,,,,,,,
573664,28003346,28,3.25,8.5,,,,8.0,,8.5,,,,,,
573665,28003347,28,1.6,7.75,,,,4.2,3.85,,,,,,15.799999999999999,
573666,28003348,28,6.5,5.5,7.5,,,,,,5.25,,19.25,,,17.25
573667,28003349,28,1.95,8.0,,,,4.85,6.75,,,,,,19.6,
573668,28003350,28,3.25,6.0,2.85,,,2.55,,,,,,,,
573669,28003351,28,1.2,6.25,,,3.05,5.1,,,,,,,,
573670,28003352,28,6.75,7.75,,,,,8.0,,3.75,,,,,18.25
573671,28003353,28,3.35,8.0,,,3.2,8.0,,,,,,,,
573672,28003354,28,2.6,7.25,6.75,,,5.85,,,,,,,,
573673,28003355,28,4.1,6.5,3.1,,,5.5,,,,,,,,
573674,28003356,28,3.5,8.0,4.5,,,6.25,,,,,,,,
573675,28003357,28,3.6,4.5,5.0,,,5.75,,,,,,,,
573676,28003358,28,3.95,8.0,,4.95,4.95,,,,,,,13.850000000000001,,
573677,28003359,28,4.0,7.0,,,4.1,6.5,,,,,,,,
573678,28003360,28,4.75,8.0,,,,,,8.25,5.5,,,,,18.25
573679,28003361,28,4.25,8.0,,,,,,9.0,3.25,,,,,15.5
573680,28003362,28,3.5,5.75,3.5,,,,,,4.25,,11.25,,,13.5
573681,28003363,28,5.5,8.25,,,,,9.25,,5.75,,,,,19.5
573682,28003364,28,4.5,8.0,,,,,,7.75,4.5,,,,,17.0
573683,28003365,28,8.5,6.25,7.5,4.75,,,,,,20.75,,,,
573684,28003366,28,1.85,8.0,,,,,6.25,7.0,,,,,,
573685,28003367,28,3.0,8.25,,,,,6.85,9.0,,,,,,
573686,28003368,28,2.85,7.5,,,4.5,3.85,,,,,,,,
573687,28003369,28,7.5,7.5,9.0,,,,,,5.75,,22.25,,,20.75
573688,28003370,28,2.7,8.0,,,5.25,7.0,,,,,,,,
573689,28003371,28,2.25,5.75,,,2.95,4.25,,,,,,,,
573690,28003372,28,2.55,6.5,,,2.7,5.5,,,,,,,,
573691,28003373,28,3.75,7.5,5.5,,,5.5,,,,,,,,
573692,28003374,28,3.05,7.0,3.75,,,5.5,,,,,,,,
573693,28003375,28,3.5,8.0,,,,5.5,,,6.0,,,,,17.5
573694,28003376,28,2.85,4.25,4.75,,,3.5,,,,,,,,
573695,28003377,28,5.5,7.75,,,,,,9.5,5.0,,,,,18.25
573696,28003378,28,3.0,4.75,,,,,4.75,,2.75,,,,,10.5
573697,28003379,28,2.75,7.0,,,6.0,8.0,,,,,,,,
573698,28003380,28,3.6,7.75,,,,6.75,,7.25,,,,,,
573699,28003381,28,4.0,8.75,,,,4.35,,8.75,,,,,,
573700,28003382,28,3.35,5.5,5.0,,,6.5,,,,,,,,
573701,28003383,28,3.5,8.25,,,,,5.75,7.1,,,,,,
573702,28003384,28,3.1,8.0,,,,4.5,5.25,,,,,,17.75,
573703,28003385,28,3.0,7.5,,,,6.0,3.6,,,,,,17.1,
573704,28003386,28,3.0,5.0,,,5.1,5.5,,,,,,,,
573705,28003387,28,6.0,4.75,7.75,,,,,,4.0,,17.75,,,14.75
573706,28003388,28,2.1,8.0,,,,4.75,6.75,,,,,,19.5,
573707,28003389,28,3.75,8.5,,,,5.85,8.0,,,,,,22.35,
573708,28003390,28,2.95,5.75,3.35,,,5.5,,,,,,,,
573709,28003391,28,1.2,5.5,,,4.75,3.85,,,,,,,,
573710,28003392,28,1.75,6.75,3.6,,,5.0,,,,,,,,
573711,28003393,28,4.1,6.5,,,,,4.35,6.25,,,,,,
573712,28003394,28,3.35,5.5,3.45,,,3.7,,,,,,,,
573713,28003395,28,4.1,5.5,,,3.85,7.0,,,,,,,,
573714,28003396,28,3.0,5.25,4.6,,,7.0,,,,,,,,
573715,28003397,28,2.6,7.0,,,4.5,5.1,,,,,,,,
573716,28003398,28,2.35,4.75,5.0,,,5.75,,,,,,,,
573717,28003399,28,3.75,4.5,4.6,,,3.25,,,,,,,,
573718,28003400,28,3.6,8.0,,,,,9.25,,7.0,,,,,18.6
573719,28003401,28,3.6,5.25,,,4.6,3.45,,,,,,,,
573720,28003402,28,2.45,7.0,3.6,,,4.1,,,,,,,,
573721,28003403,28,3.35,6.25,4.75,,,5.85,,,,,,,,
573722,28003404,28,2.1,6.75,4.25,,,6.5,,,,,,,,
573723,28003405,28,1.2,3.75,,,2.7,2.95,,,,,,,,
573724,28003406,28,4.5,7.75,,,,,7.0,8.5,,,,,,
573725,28003407,28,2.85,5.25,3.1,,,5.7,,,,,,,,
573726,28003408,28,4.0,6.0,,,,,5.0,7.0,,,,,,
573727,28003409,28,1.95,6.75,3.75,,,1.85,,,,,,,,
573728,28003410,28,3.85,6.5,,,,,5.5,8.0,,,,,,
573729,28003411,28,3.0,5.0,4.5,,,5.35,,,,,,,,
573730,28003412,28,4.25,7.25,5.0,3.85,,,,,,13.1,,,,
573731,28003413,28,3.2,6.25,3.0,,,4.85,,,,,,,,
573732,28003414,28,4.85,7.0,,,,,8.5,,6.5,,,,,18.35
573733,28003415,28,4.1,7.25,4.0,,,3.95,,,,,,,,
573734,28003416,28,2.6,7.0,3.35,,,2.85,,,,,,,,
573735,28003417,28,4.0,7.75,,,,5.45,,,5.5,,,,,17.25
573736,28003418,28,4.6,8.5,,,,6.25,8.25,,,,,,23.0,
573737,28003419,28,4.0,7.25,,,4.45,7.35,,,,,,,,
573738,28003420,28,2.35,5.25,2.5,,,4.5,,,,,,,,
573739,28003421,28,1.2,8.0,,,3.85,3.6,,,,,,,,
573740,28003422,28,2.1,6.75,3.0,,,3.0,,,,,,,,
573741,28003423,28,3.45,6.25,3.85,,,8.75,,,,,,,,
573742,28003424,28,1.95,6.75,,,2.95,4.85,,,,,,,,
573743,28003425,28,4.6,7.25,,,,7.25,6.75,,,,,,21.25,
573744,28003426,28,5.0,7.0,6.6,,,,,,3.0,,14.6,,,15.0
573745,28003427,28,4.35,7.75,,,,,,7.5,3.25,,,,,15.35
573746,28003428,28,5.75,8.25,,,,9.5,10.0,,,,,,27.75,
573747,28003429,28,3.5,7.25,4.5,,,5.35,,,,,,,,
573748,28003430,28,2.2,5.75,,,2.85,5.25,,,,,,,,
573749,28003431,28,3.25,7.75,,,,7.0,6.5,,,,,,21.25,
573750,28003432,28,3.0,7.0,,,,6.7,7.75,,,,,,21.45,
573751,28003433,28,4.5,7.0,6.5,,,,,,5.0,,16.0,,,16.5
573752,28003434,28,2.75,8.0,,,,9.75,9.25,,,,,,27.0,
573753,28003435,28,2.7,7.5,,,5.5,6.5,,,,,,,,
573754,28003436,28,5.75,7.0,6.25,,5.25,,,,,,,,,
573755,28003437,28,2.1,5.75,,,4.75,5.25,,,,,,,,
573756,28003438,28,6.25,8.5,6.75,,,,,,4.75,,17.75,,,19.5
573757,28003439,28,4.1,6.0,,,,,6.25,9.0,,,,,,
573758,28003440,28,3.6,8.0,,,,5.75,7.0,,,,,,20.75,
573759,28003441,28,3.2,6.25,,,3.7,6.25,,,,,,,,
573760,28003442,28,6.25,5.5,5.75,4.0,,,,,,16.0,,,,
573761,28003443,28,1.6,7.0,,,2.6,3.5,,,,,,,,
573762,28003444,28,2.7,7.75,,,,6.5,7.75,,,,,,22.0,
573763,28003445,28,3.5,8.5,,,,,8.25,9.0,,,,,,
573764,28003446,28,5.0,7.0,,,,5.85,,,3.75,,,,,15.75
573765,28003447,28,5.0,8.5,,4.2,5.0,,,,,,,14.2,,
573766,28003448,28,2.45,7.25,,,4.5,5.75,,,,,,,,
573767,28003449,28,4.25,8.25,,,,8.0,8.25,,,,,,24.5,
573768,28003450,28,3.75,8.25,,,4.7,7.0,,,,,,,,
573769,28003451,28,4.75,8.5,,,,,8.25,,4.75,,,,,18.0
573770,28003452,28,5.35,7.25,,,,6.75,5.6,,,,,,19.6,
573771,28003453,28,6.0,8.75,,3.3,5.25,,,,,,,14.55,,
573772,28003454,28,5.1,9.0,,,,9.25,10.0,,,,,,28.25,
573773,28003455,28,3.5,8.75,,,,,4.1,8.75,,,,,,
573774,28003456,28,4.25,6.0,4.25,,,7.5,,,,,,,,
573775,28003457,28,2.1,6.75,,,3.45,5.35,,,,,,,,
573776,28003458,28,3.35,7.0,,,6.0,6.1,,,,,,,,
573777,28003459,28,3.25,6.75,4.6,,,6.75,,,,,,,,
573778,28003460,28,4.0,8.75,,,,8.0,8.25,,,,,,25.0,
573779,28003461,28,3.1,7.5,,,,,5.25,8.25,,,,,,
573780,28003462,28,4.85,7.75,5.75,3.5,,,,,,14.1,,,,
573781,28003463,28,1.95,7.25,,,,5.0,5.25,,,,,,17.5,
573782,28003464,28,2.35,6.25,,,3.75,6.75,,,,,,,,
573783,28003465,28,2.35,6.5,5.25,,,7.35,,,,,,,,
573784,28003466,28,2.35,5.5,,,4.35,4.35,,,,,,,,
573785,28003467,28,6.5,6.0,,6.25,6.75,,,,,,,19.5,,
573786,28003468,28,2.6,8.25,,,,,7.0,8.25,,,,,,
573787,28003469,28,3.1,5.75,3.25,,,6.5,,,,,,,,
573788,28003470,28,2.2,8.0,,,5.5,4.35,,,,,,,,
573789,28003471,28,2.85,8.0,,,,,,9.0,5.75,,,,,16.6
573790,28003473,28,1.85,7.5,,,4.75,5.5,,,,,,,,
573791,28003474,28,3.5,8.25,,,,,7.75,8.5,,,,,,
573792,28003475,28,5.25,8.5,,,,9.25,,,6.5,,,,,20.25
573793,28003476,28,4.5,8.25,,,,6.75,,,4.25,,,,,17.0
573794,28003477,28,3.35,7.92,,,,5.5,5.6,,,,,,19.02,
573795,28003478,28,4.75,7.5,,,,6.25,6.75,,,,,,20.5,
573796,28003479,28,3.5,7.5,,,,4.35,,,3.25,,,,,14.25
573797,28003480,28,3.6,7.5,,,,,8.25,8.75,,,,,,
573798,28003481,28,4.35,8.25,,,,,,8.75,6.25,,,,,18.85
573799,28003482,28,4.5,8.5,,,,6.5,6.5,,,,,,21.5,
573800,28003483,28,7.5,7.0,8.25,7.25,,,,,,23.0,,,,
573801,28003484,28,3.75,4.75,4.75,,,4.95,,,,,,,,
573802,28003485,28,5.1,8.75,,,,,5.85,6.75,,,,,,
573803,28003486,28,3.6,6.25,3.75,,,6.0,,,,,,,,
573804,28003487,28,3.75,5.25,5.75,,,6.0,,,,,,,,
573805,28003488,28,4.85,8.5,,,,6.35,6.75,,,,,,21.6,
573806,28003489,28,3.75,7.5,3.5,,,7.25,,,,,,,,
573807,28003490,28,3.1,7.0,,,4.1,7.25,,,,,,,,
573808,28003491,28,5.25,6.25,5.2,4.5,,,,,,14.95,,,,
573809,28003492,28,2.05,8.25,,,2.7,5.0,,,,,,,,
573810,28003493,28,3.0,6.75,,,3.5,5.5,,,,,,,,
573811,28003494,28,5.75,6.0,6.5,,,,,,6.75,,19.0,,,18.5
573812,28003495,28,3.35,7.0,3.45,,,8.1,,,,,,,,
573813,28003496,28,3.5,7.5,,,,,6.35,9.5,,,,,,
573814,28003497,28,3.85,7.75,,,,,3.1,5.0,,,,,,
573815,28003498,28,7.0,6.0,7.25,,,,,,7.5,,21.75,,,20.5
573816,28003499,28,1.85,6.5,4.35,,,4.75,,,,,,,,
573817,28003500,28,2.85,3.5,2.85,,,3.35,,,,,,,,
573818,28003501,28,5.5,6.0,6.1,,,,,,4.0,,15.6,,,15.5
573819,28003502,28,5.5,7.5,,,,8.75,8.75,,,,,,25.0,
573820,28003503,28,6.75,8.5,,,,,10.0,10.0,,,,,,
573821,28003504,28,2.75,6.5,,,3.75,4.75,,,,,,,,
573822,28003505,28,3.1,5.75,4.25,,,4.2,,,,,,,,
573823,28003506,28,4.1,5.5,,,3.7,4.1,,,,,,,,
573824,28003507,28,2.35,7.0,,,3.45,5.5,,,,,,,,
573825,28003508,28,5.5,8.5,,,,7.25,,8.25,,,,,,
573826,28003509,28,2.25,8.25,,,,,5.25,8.0,,,,,,
573827,28003510,28,3.35,5.0,3.5,,,3.6,,,,,,,,
573828,28003511,28,2.75,7.5,4.0,,,6.0,,,,,,,,
573829,28003512,28,3.35,7.0,,,4.1,5.25,,,,,,,,
573830,28003513,28,3.75,7.0,5.25,,,7.0,,,,,,,,
573831,28003514,28,3.35,8.25,,,,8.0,8.1,,,,,,24.35,
573832,28003515,28,2.35,6.0,4.2,,,4.75,,,,,,,,
573833,28003516,28,2.5,5.25,3.2,,,3.1,,,,,,,,
573834,28003517,28,4.85,6.25,,4.75,7.5,,,,,,,17.1,,
573835,28003518,28,3.85,7.75,,,,5.25,,,6.5,,,,,18.1
573836,28003519,28,2.1,4.25,4.0,,,4.75,,,,,,,,
573837,28003520,28,6.75,8.75,,,,,,9.25,5.5,,,,,21.0
573838,28003521,28,2.6,4.0,,,4.0,4.85,,,,,,,,
573839,28003522,28,3.5,7.25,,,,,7.0,,3.75,,,,,14.5
573840,28003523,28,2.6,8.5,,,4.0,4.45,,,,,,,,
573841,28003524,28,3.7,7.0,5.35,,,6.1,,,,,,,,
573842,28003525,28,5.75,7.0,,,,8.25,,,3.25,,,,,16.0
573843,28003526,28,7.25,7.0,8.0,5.75,,,,,,21.0,,,,
573844,28003527,28,2.35,7.0,,,,,4.5,6.75,,,,,,
573845,28003528,28,5.25,5.0,6.25,,,,,,5.75,,17.25,,,16.0
573846,28003529,28,3.0,7.5,4.75,,,7.25,,,,,,,,
573847,28003530,28,2.6,8.5,,,,,5.75,9.0,,,,,,
573848,28003531,28,3.6,8.5,,,,8.0,,,4.75,,,,,16.85
573849,28003532,28,5.5,8.75,,,,,,8.75,4.5,,,,,18.75
573850,28003533,28,4.75,9.0,,,,9.25,,8.75,,,,,,
573851,28003534,28,4.0,8.0,,,,,5.5,7.75,,,,,,
573852,28003535,28,5.25,8.5,,,,4.75,,7.75,,,,,,
573853,28003536,28,2.85,7.5,,,,6.5,5.5,,,,,,19.5,
573854,28003537,28,4.75,8.25,,,,,,8.25,3.25,,,,,16.25
573855,28003538,28,2.85,6.0,,,2.7,4.25,,,,,,,,
573856,28003540,28,4.0,8.0,,,3.1,6.0,,,,,,,,
573857,28003541,28,8.0,6.0,7.0,,,,,,6.0,,21.0,,,20.0
573858,28003542,28,2.95,7.5,3.35,,,4.1,,,,,,,,
